UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,Grondslag,Grondslaglabel,Grondslaglink
studiefinanciering,http://standaarden.overheid.nl/owms/terms/studiefinanciering,X,,,,X,,,E1,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_2_4,Artikel 2.4 Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=2&paragraaf=2.2&artikel=2.4
studiefinanciering,http://standaarden.overheid.nl/owms/terms/studiefinanciering,X,,,,X,,,E1,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_2_8,Artikel 2.8 Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=2&paragraaf=2.3&artikel=2.8
studiekosten leraren tegemoetkoming,http://standaarden.overheid.nl/owms/terms/studiekstLerTeg,X,,,,X,,,E1,,,X,,,,http://standaarden.overheid.nl/owms/terms/WTOS_art_5_5,Artikel 5.5 Wet tegemoetkoming onderwijsbijdrage en schoolkosten,https://wetten.overheid.nl/jci1.3:c:BWBR0012438&hoofdstuk=5&afdeling=5.1&paragraaf=5.1.3&artikel=5.5
subsidie,http://standaarden.overheid.nl/owms/terms/subsidie,X,X,X,X,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/Awb_art_4_21,Artikel 4:21 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=4&titeldeel=4.2&afdeling=4.2.1&artikel=4:21
subsidie,http://standaarden.overheid.nl/owms/terms/subsidie,X,X,X,X,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/Wschw_art_78,Artikel 78 Waterschapswet,https://wetten.overheid.nl/jci1.3:c:BWBR0005108&titeldeel=III&hoofdstuk=X&artikel=78
subsidie,http://standaarden.overheid.nl/owms/terms/subsidie,X,X,X,X,X,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/pr_sub_vo,provinciale subsidieverordening,
surceance van betaling,http://standaarden.overheid.nl/owms/terms/surcbet,X,,,,,X,,J7,,,,,,,http://standaarden.overheid.nl/owms/terms/Fw_art_214,Artikel 214 Faillissementswet,https://wetten.overheid.nl/jci1.3:c:BWBR0001860&titeldeel=II&afdeling=Eerste&artikel=214
t100-bus goedkeuring,http://standaarden.overheid.nl/owms/terms/t100busgoedk,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Reg_voertuigen_art_6_6,Artikel 6.6 Regeling voertuigen,https://wetten.overheid.nl/jci1.3:c:BWBR0025798&hoofdstuk=6&paragraaf=2&artikel=6.6
tapontheffing,http://standaarden.overheid.nl/owms/terms/tapontheffing,,,,X,,X,X,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Alcoholwet_art_35,Artikel 35 Alcoholwet,https://wetten.overheid.nl/jci1.3:c:BWBR0002458&paragraaf=5&artikel=35
tatoeage- of piercingsvergunning,http://standaarden.overheid.nl/owms/terms/tatoeagevergunning,,,,,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Warenwetbesl_tato_pier_art_3,Artikel 3 Warenwetbesluit tatoeëren en piercen,https://wetten.overheid.nl/jci1.3:c:BWBR0021605&artikel=3
taxi chauffeurskaart,http://standaarden.overheid.nl/owms/terms/taxichkrt,X,,,,X,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Bp_art_81,Artikel 81 Besluit personenvervoer 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011982&hoofdstuk=6&paragraaf=3&artikel=81
taxi goedkeuring,http://standaarden.overheid.nl/owms/terms/taxgk,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Reg_voertuigen_art_3_1_2,Artikel 3.1.2 Regeling voertuigen,https://wetten.overheid.nl/jci1.3:c:BWBR0025798&hoofdstuk=3&afdeling=1&artikel=3.1.2
taxi ondernemerskaart,http://standaarden.overheid.nl/owms/terms/taxiondkrt,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Bp_art_81,Artikel 81 Besluit personenvervoer 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011982&hoofdstuk=6&paragraaf=3&artikel=81
taxi-informatiekaart,http://standaarden.overheid.nl/owms/terms/taxiInfokaart,X,,,,,X,X,M7,,,,,,X,http://standaarden.overheid.nl/owms/terms/Reg_maxtar_taxiv_art_2,Artikel 2 Regeling maximumtarief en bekendmaking tarieven taxivervoer,https://wetten.overheid.nl/jci1.3:c:BWBR0010998&artikel=2
taxichauffeur getuigschrift,http://standaarden.overheid.nl/owms/terms/taxichgetschr,X,,,,X,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Bp_art_82,Artikel 82 Besluit personenvervoer 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011982&hoofdstuk=6&paragraaf=3&artikel=82
taxivergoeding,http://standaarden.overheid.nl/owms/terms/taxivergoeding,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&paragraaf=3&artikel=2.3.1
taxivervoer klacht,http://standaarden.overheid.nl/owms/terms/taxivervoerKlacht,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wp_art_77,Artikel 77 Wet personenvervoer 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011470&hoofdstuk=V&paragraaf=2&artikel=77
taxivervoersvergunning,http://standaarden.overheid.nl/owms/terms/taxivervoersvergunning,,,,,,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wp_art_76,Artikel 76 Wet personenvervoer 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011470&hoofdstuk=V&paragraaf=1&artikel=76
tegemoetkoming scholieren,http://standaarden.overheid.nl/owms/terms/tegkschol,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/WTOS_art_1_1,Artikel 1.1 Wet tegemoetkoming onderwijsbijdrage en schoolkosten,https://wetten.overheid.nl/jci1.3:c:BWBR0012438&hoofdstuk=1&artikel=1.1
telecommunicatiewet geschilbeslechting,http://standaarden.overheid.nl/owms/terms/telecomWetGeschBesl,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Tw_art_12_9,Artikel 12.9 Telecommunicatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0009950&hoofdstuk=12&paragraaf=12.2&sub-paragraaf=12.2.2&artikel=12.9
terrasvergunning,http://standaarden.overheid.nl/owms/terms/terrasvergunning,X,,,X,,X,X,N1,X,,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_10,Artikel 2:10 Model Algemene plaatselijke verordening,
terugbetaling studiefinanciering opschorting,http://standaarden.overheid.nl/owms/terms/terugbetStuFiOpsch,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/WSF_art_6_7,Artikel 6.7 Wet studiefinanciering 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011453&hoofdstuk=6&paragraaf=6.1&artikel=6.7
terugkeervisum,http://standaarden.overheid.nl/owms/terms/terugkeervisum,X,,,,X,,,A1,,,X,,,,http://standaarden.overheid.nl/owms/terms/VW_art_2w,Artikel 2w Vreemdelingenwet 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011823&hoofdstuk=1a&afdeling=3&artikel=2w
tewerkstellingsvergunning,http://standaarden.overheid.nl/owms/terms/tewerkstverg,X,,,,X,X,X,K3,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wav_art_2,Artikel 2 Wet arbeid vreemdelingen,https://wetten.overheid.nl/jci1.3:c:BWBR0007149&paragraaf=II&artikel=2
tewerkstellingsvergunning,http://standaarden.overheid.nl/owms/terms/tewerkstverg,X,,,,X,X,X,K3,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wav_art_3,Artikel 3 Wet arbeid vreemdelingen,https://wetten.overheid.nl/jci1.3:c:BWBR0007149&paragraaf=II&artikel=3
tewerkstellingsvergunning,http://standaarden.overheid.nl/owms/terms/tewerkstverg,X,,,,X,X,X,K3,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wav_art_5,Artikel 5 Wet arbeid vreemdelingen,https://wetten.overheid.nl/jci1.3:c:BWBR0007149&paragraaf=II&artikel=5
thuiswerkvergoeding,http://standaarden.overheid.nl/owms/terms/thuiswerkvergoeding,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/LB_art_31a,Artikel 31a Wet op de loonbelasting 1964,https://wetten.overheid.nl/jci1.3:c:BWBR0002471&hoofdstuk=V&afdeling=1&artikel=31a
thuiszorg,http://standaarden.overheid.nl/owms/terms/thuiszorg,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&paragraaf=3&artikel=2.3.1
tijdelijk en incidenteel werken in gereglementeerd beroep melding,http://standaarden.overheid.nl/owms/terms/tijdIncWerkGeregBerMeld,X,,,,X,,,B2,,,X,,,,http://standaarden.overheid.nl/owms/terms/AlgWetEUBerKwal_art_23,Artikel 22 Algemene wet erkenning EU-beroepskwalificaties,https://wetten.overheid.nl/jci1.3:c:BWBR0023066&hoofdstuk=3&artikel=22
tijdelijk huisverbod,http://standaarden.overheid.nl/owms/terms/tijdHuisverbod,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Wth_art_2,Artikel 2 Wet tijdelijk huisverbod,https://wetten.overheid.nl/jci1.3:c:BWBR0024649&artikel=2
tijdelijk luchtvaartterrein ontheffing,http://standaarden.overheid.nl/owms/terms/tijdelijk_luchtvaartterrein_ontheffing,,X,,X,X,X,,N1;C5,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WLV_art_8a_51,Artikel 8a.51 Wet luchtvaart,https://wetten.overheid.nl/jci1.3:c:BWBR0005555&hoofdstuk=8a&titeldeel=8A.5&artikel=8a.51
tijdelijke opheffing geschorst kenteken,http://standaarden.overheid.nl/owms/terms/tijdOphGeschKent,X,,,,X,X,,C4,,,X,,,,http://standaarden.overheid.nl/owms/terms/KR_art_23,Artikel 23 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=4&artikel=23
tijdelijke opheffing geschorst kenteken bij evenement,http://standaarden.overheid.nl/owms/terms/tijdOphGeschKentEven,X,,,,X,X,,C4,,,X,,,,http://standaarden.overheid.nl/owms/terms/KR_art_23,Artikel 23 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=4&artikel=23
tillift,http://standaarden.overheid.nl/owms/terms/tillift,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WMO_2015_art_2_3_1,Artikel 2.3.1 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&paragraaf=3&artikel=2.3.1
toegankelijkheidssubsidie,http://standaarden.overheid.nl/owms/terms/toegsubs,,,,X,,X,X,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
toerismesubsidie,http://standaarden.overheid.nl/owms/terms/toerismesubsidie,,,,X,,X,,,X,,X,X,,,http://standaarden.overheid.nl/owms/terms/gem_sub_vo,gemeentelijke subsidieverordening,
toeristenbelasting,http://standaarden.overheid.nl/owms/terms/toeristenbelasting,X,,,X,X,X,,L5;A2,X,,,,,X,http://standaarden.overheid.nl/owms/terms/Gemw_art_224,Artikel 224 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=IV&hoofdstuk=XV&paragraaf=3&artikel=224
toeristenvisum,http://standaarden.overheid.nl/owms/terms/toeristenvisum,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/VB_art_3_3,Artikel 3.3 Vreemdelingenbesluit 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011825&hoofdstuk=3&afdeling=1&artikel=3.3
toeslag toeslagenwet,http://standaarden.overheid.nl/owms/terms/toeslagToeslagenwet,X,,,,X,,,B6,,,X,,,,http://standaarden.overheid.nl/owms/terms/TW_art_2,Artikel 2 Toeslagenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004043&hoofdstuk=II&paragraaf=1&artikel=2
tolk,http://standaarden.overheid.nl/owms/terms/tolk,,,,X,X,,,,,,,,,,,,
tolkenregisterinschrijving,http://standaarden.overheid.nl/owms/terms/tolkreginschr,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wbtv_art_4,Artikel 4 Wet beëdigde tolken en vertalers,https://wetten.overheid.nl/jci1.3:c:BWBR0022704&hoofdstuk=II&paragraaf=2&artikel=4
tolkvoorziening bij auditieve beperking,http://standaarden.overheid.nl/owms/terms/tolkvoorz,X,,,,X,X,,F4;B6,,,X,,,,http://standaarden.overheid.nl/owms/terms/PW_art_10g,Artikel 10g Participatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0015703&hoofdstuk=2&paragraaf=2.1&artikel=10g
transitokentekenbewijs,http://standaarden.overheid.nl/owms/terms/transitokent,X,,,,X,X,,C1,,,X,,,,http://standaarden.overheid.nl/owms/terms/KR_art_4,Artikel 4 Kentekenreglement,https://wetten.overheid.nl/jci1.3:c:BWBR0006951&hoofdstuk=2&artikel=4
trekhondenverbod ontheffing,http://standaarden.overheid.nl/owms/terms/trekhondenverbod_ontheffing,X,,,,X,X,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_dieren_art_10_1,Artikel 10.1 Wet dieren,https://wetten.overheid.nl/jci1.3:c:BWBR0030250&hoofdstuk=10&artikel=10.1
trouwlocatie,http://standaarden.overheid.nl/owms/terms/trouwlocatie,,,,X,X,X,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_63,Artikel 63 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=5&afdeling=4&artikel=63
turboliquidatie,http://standaarden.overheid.nl/owms/terms/turboliquidatie,X,,,,,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_2_art_19a_en_b,Artikel 19a en b  Burgerlijk Wetboek Boek 2,https://wetten.overheid.nl/jci1.3:c:BWBR0003045&boek=2&titeldeel=1&artikel=19a
tweede lerarenopleiding subsidie,http://standaarden.overheid.nl/owms/terms/tweedeLerarenOplSubs,X,,,,X,,,E1,,,X,X,,,http://standaarden.overheid.nl/owms/terms/Subsreg_tweede_lerarenopl_art_3,Artikel 3 Subsidieregeling tweede lerarenopleiding,https://wetten.overheid.nl/jci1.3:c:BWBR0043210&hoofdstuk=1&artikel=3
uitkering vervolgingsslachtoffers 1940-1945,http://standaarden.overheid.nl/owms/terms/uitkVervSlchtoff4045,X,,,,X,,,,,,X,,,,http://standaarden.overheid.nl/owms/terms/WUV_art_7,Artikel 7 Wet uitkeringen vervolgingsslachtoffers 1940-1945,https://wetten.overheid.nl/jci1.3:c:BWBR0002844&hoofdstuk=II&paragraaf=1&artikel=7
uitlening gemeentelijke materialen,http://standaarden.overheid.nl/owms/terms/uitlening_gemeentelijke_materialen,,,,X,X,X,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7A_art_1777,Artikel 1777 Burgerlijk Wetboek Boek 7A,https://wetten.overheid.nl/jci1.3:c:BWBR0006000&boek=7a&titeldeel=Dertiende&afdeling=Eerste&artikel=1777
uitspraak bestuursrechter herzieningsverzoek,http://standaarden.overheid.nl/owms/terms/uitsprBestRechtHerzVerz,X,,,,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Awb_art_8_119,Artikel 8:119 Algemene wet bestuursrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0005537&hoofdstuk=8&titeldeel=8.6&artikel=8:119
uitspraak huurcommissie verzoek,http://standaarden.overheid.nl/owms/terms/uitsprHuurcommVerz,X,,,,X,X,,D1,,,,,,,http://standaarden.overheid.nl/owms/terms/Uw_HW_art_4,Artikel 4 Uitvoeringswet huurprijzen woonruimte,https://wetten.overheid.nl/jci1.3:c:BWBR0014315&hoofdstuk=II&paragraaf=2&artikel=4
uitspraak huurcommissie verzoek,http://standaarden.overheid.nl/owms/terms/uitsprHuurcommVerz,X,,,,X,X,,D1,,,,,,,http://standaarden.overheid.nl/owms/terms/Uw_HW_art_4a,Artikel 4a Uitvoeringswet huurprijzen woonruimte,https://wetten.overheid.nl/jci1.3:c:BWBR0014315&hoofdstuk=II&paragraaf=2&artikel=4a
uitspraken huurcommisie inzage,http://standaarden.overheid.nl/owms/terms/uitsprhuurcommInz,X,,,,X,X,,H5,,,,,,,http://standaarden.overheid.nl/owms/terms/Uw_HW_art_3i,Artikel 3i Uitvoeringswet huurprijzen woonruimte,https://wetten.overheid.nl/jci1.3:c:BWBR0014315&hoofdstuk=II&paragraaf=1&artikel=3i
uitvliegontheffing,http://standaarden.overheid.nl/owms/terms/uitvlOntheffing,,,,X,X,,,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_2_63,Artikel 2:63 Model Algemene plaatselijke verordening,
urgentiebewijs woning,http://standaarden.overheid.nl/owms/terms/urgBewWoning,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Huisvw_art_12,Artikel 12 Huisvestingswet 2014,https://wetten.overheid.nl/jci1.3:c:BWBR0035303&hoofdstuk=2&paragraaf=2&artikel=12
uwv reiskostenvergoeding,http://standaarden.overheid.nl/owms/terms/uwvReiskVerg,X,,,,X,,,B9,,,X,,,,http://standaarden.overheid.nl/owms/terms/BRKostVergUWV_art_2,Artikel 2 Beleidsregel kostenvergoeding UWV,https://wetten.overheid.nl/jci1.3:c:BWBR0028578&artikel=2
uwv-inzagerecht en correctieverzoek,http://standaarden.overheid.nl/owms/terms/uwvInzRechtCorrVerz,X,,,,X,,,I1,,,X,,,,http://standaarden.overheid.nl/owms/terms/Reg_inz_corr_UWV_art_2,Artikel 2 Regeling inzage- en correctierecht UWV 2018,https://wetten.overheid.nl/jci1.3:c:BWBR0040934&paragraaf=2&artikel=2
vaarvergunning,http://standaarden.overheid.nl/owms/terms/vaarvergunning,,,,X,X,X,X,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
vaarweggebruik,http://standaarden.overheid.nl/owms/terms/vaarweggebruik,,X,X,,X,X,X,N1;C5,,X,X,,,,http://standaarden.overheid.nl/owms/terms/BPR_art_1_21,Artikel 1.21 Binnenvaartpolitiereglement,https://wetten.overheid.nl/jci1.3:c:BWBR0003628&deel=I&hoofdstuk=1&artikel=1.21
vacature,http://standaarden.overheid.nl/owms/terms/vacature,X,X,X,X,X,,,,,,,,,,,,
vaderschapsontkenning verklaring,http://standaarden.overheid.nl/owms/terms/vaderschapsontkenning_verklaring,X,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_1_art_200,Artikel 200 Burgerlijk Wetboek Boek 1,https://wetten.overheid.nl/jci1.3:c:BWBR0002656&boek=1&titeldeel=11&afdeling=2&artikel=200
vakantiemelding ww,http://standaarden.overheid.nl/owms/terms/vakMldWw,X,,,,X,,,,,,,,,X,http://standaarden.overheid.nl/owms/terms/UitkReglWW2015_art_5,Artikel 5 Uitkeringsreglement WW 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0036710&paragraaf=3&artikel=5
vakantierecht,http://standaarden.overheid.nl/owms/terms/vakantierecht,X,,,,X,X,,B6;K1,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_634,Artikel 634 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=10&afdeling=3&artikel=634
vakbekwaamheid certificaat,http://standaarden.overheid.nl/owms/terms/vakbekwCert,X,,,,X,,,B3;H5,,,X,,,,http://standaarden.overheid.nl/owms/terms/Arbo_art_20,Artikel 20 Arbeidsomstandighedenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0010346&hoofdstuk=4&artikel=20
vakbekwaamheidseis,http://standaarden.overheid.nl/owms/terms/vakbekwEis,X,,,,X,,,N3,,,,,,,,,
vellen houtopstand melding,http://standaarden.overheid.nl/owms/terms/velhoutmld,X,X,,X,X,X,,,,X,X,,X,,http://standaarden.overheid.nl/owms/terms/Bal_art_11_126,Artikel 11.126 Besluit activiteiten leefomgeving,https://wetten.overheid.nl/jci1.3:c:BWBR0041330&hoofdstuk=11&afdeling=11.3&paragraaf=11.3.2&artikel=11.126
vennootschapsbelasting,http://standaarden.overheid.nl/owms/terms/vennootschapsbel,X,,,,,X,,L5,,,,,,X,http://standaarden.overheid.nl/owms/terms/Vpb_art_1,Artikel 1 Wet op de vennootschapsbelasting 1969,https://wetten.overheid.nl/jci1.3:c:BWBR0002672&hoofdstuk=I&artikel=1
ventontheffing,http://standaarden.overheid.nl/owms/terms/ventonth,,,,X,X,X,X,,X,,X,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_5_15,Artikel 5:15 Model Algemene plaatselijke verordening,
ventvergunning,http://standaarden.overheid.nl/owms/terms/ventvergunning,X,,,X,X,X,X,N1,X,,X,,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
veranderen weg vergunning,http://standaarden.overheid.nl/owms/terms/veranderen_weg_vergunning,,X,,,X,X,X,N1;D2,X,,X,,,,http://standaarden.overheid.nl/owms/terms/pr_w_vo,provinciale wegenverordening,
verblijfsvergunning,http://standaarden.overheid.nl/owms/terms/verblijfsvergunning,X,,,,X,,,A1,,X,X,,,,http://standaarden.overheid.nl/owms/terms/VW_art_13,Artikel 13 Vreemdelingenwet 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011823&hoofdstuk=3&afdeling=2&artikel=13
verblijfsvergunning regulier voor bepaalde tijd,http://standaarden.overheid.nl/owms/terms/verblvergregbeptijd,X,,,,X,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/VW_art_14,Artikel 14 Vreemdelingenwet 2000,https://wetten.overheid.nl/jci1.3:c:BWBR0011823&hoofdstuk=3&afdeling=3&paragraaf=1&artikel=14
verbod op permanente nachtarbeid ontheffing,http://standaarden.overheid.nl/owms/terms/verbodPermNachtarbOnth,X,,,,X,X,X,B8,,,X,,,,http://standaarden.overheid.nl/owms/terms/ATW_art_5_14,Artikel 5:14 Arbeidstijdenwet,https://wetten.overheid.nl/jci1.3:c:BWBR0007671&hoofdstuk=5&paragraaf=5.4&artikel=5:14
verbruiksbelasting,http://standaarden.overheid.nl/owms/terms/verbruiksbel,X,,,,,X,,L2,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wvad_art_1,Artikel 1 Wet op de verbruiksbelasting van alcoholvrije dranken,https://wetten.overheid.nl/jci1.3:c:BWBR0005802&hoofdstuk=I&artikel=1
verduurzaming en onderhoud huurwoning subsidie,http://standaarden.overheid.nl/owms/terms/verduurzOnderhoudHuurwSubsidie,X,,,,,X,,,,,X,X,,,http://standaarden.overheid.nl/owms/terms/Subsreg_verduurz_huurw_art_8,Artikel 8 Subsidieregeling Verduurzaming en Onderhoud Huurwoningen,https://wetten.overheid.nl/jci1.3:c:BWBR0046234&artikel=8
verduurzaming verenigingen van eigenaars subsidie,http://standaarden.overheid.nl/owms/terms/verduurzVveSubs,X,,,,X,X,,,,,X,X,,,http://standaarden.overheid.nl/owms/terms/SubsidieregVerduurzVVE_art_2,Artikel 2 Subsidieregeling Verduurzaming voor Verenigingen van Eigenaars,https://wetten.overheid.nl/jci1.3:c:BWBR0047596&hoofdstuk=I&artikel=2
vereisten benoeming leraar vo ontheffing,http://standaarden.overheid.nl/owms/terms/vereisBenLerVoOnth,X,,,,X,,,B3,,,X,,,,http://standaarden.overheid.nl/owms/terms/WVO_2020_art_7_11,"Wet voortgezet onderwijs 2020, art. 7.11",https://wetten.overheid.nl/jci1.3:c:BWBR0044212&hoofdstuk=7&paragraaf=2&artikel=7.11
vereniging stamboekvee erkenning,http://standaarden.overheid.nl/owms/terms/verstamverk,X,,,,,X,X,,,,X,,,,http://standaarden.overheid.nl/owms/terms/Verord_EU_2016_1012_art_4,"Verordening (EU) 2016/1012 van het Europees Parlement en de Raad van 8 juni 2016 betreffende de zoötechnische en genealogische voorwaarden voor het fokken van, de handel in en de binnenkomst in de Unie van raszuivere fokdieren, hybride fokvarkens en levende producten daarvan en tot wijziging van Verordening (EU) nr. 652/2014, de Richtlijnen 89/608/EEG en 90/425/EEG van de Raad en tot intrekking van bepaalde handelingen op het gebied van dierfokkerij (Fokkerijverordening), art. 4",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32016R1012&from=NL#d1e1610-66-1
verhuismelding,http://standaarden.overheid.nl/owms/terms/verhuismelding,,,,X,X,,,D1,,X,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_39,Artikel 2.39 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&paragraaf=5&artikel=2.39
verhuurdersverklaring,http://standaarden.overheid.nl/owms/terms/verhuurdersverklaring,,,,X,X,X,,,,X,,,,,,,
verhuurvergunning,http://standaarden.overheid.nl/owms/terms/verhuurvergunning,,,,X,X,X,X,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Wet_goed_verhuurderschap_art_5,Artikel 5 Wet goed verhuurderschap,https://wetten.overheid.nl/jci1.3:c:BWBR0048028&hoofdstuk=4&artikel=5
verjaringsverklaring,http://standaarden.overheid.nl/owms/terms/verjaringsverklaring,,,,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Kadw_art_34,Artikel 34 Kadasterwet,https://wetten.overheid.nl/jci1.3:c:BWBR0004541&hoofdstuk=2&titeldeel=2&afdeling=2&artikel=34
verkeersbesluit,http://standaarden.overheid.nl/owms/terms/verkeersbesluit,,X,X,X,X,X,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_18,Artikel 18 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=II&paragraaf=2&artikel=18
verkeersbesluit milieuzone,http://standaarden.overheid.nl/owms/terms/verkeersbesluitMilieuzone,,,X,X,X,X,,C5,,X,X,,,,http://standaarden.overheid.nl/owms/terms/WVW_art_18,Artikel 18 Wegenverkeerswet 1994,https://wetten.overheid.nl/jci1.3:c:BWBR0006622&hoofdstuk=II&paragraaf=2&artikel=18
verkeersboete,http://standaarden.overheid.nl/owms/terms/verkeersboete,X,,,,X,X,,C5,,,,,,X,http://standaarden.overheid.nl/owms/terms/Wahv_art_2,Artikel 2 Wet administratiefrechtelijke handhaving verkeersvoorschriften,https://wetten.overheid.nl/jci1.3:c:BWBR0004581&hoofdstuk=II&artikel=2
verkeersbrigadier,http://standaarden.overheid.nl/owms/terms/verkeersbrigadier,,,,X,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/BABW_art_56,Artikel 56 Besluit administratieve bepalingen inzake het wegverkeer (BABW),https://wetten.overheid.nl/jci1.3:c:BWBR0004826&hoofdstuk=V&artikel=56
verkeerscirculatie,http://standaarden.overheid.nl/owms/terms/verkeerscirculatie,,,X,X,X,X,,,X,,,,,,,,
